City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hami,42.8,93.45,28.24,13,26,4.16,CN,1717216071
1,adamstown,-25.066,-130.1015,20.25,63,85,2.4,PN,1717216071
2,college,64.8569,-147.8028,20.99,36,75,5.66,US,1717216071
3,port-aux-francais,-49.35,70.2167,4.67,77,96,14.03,TF,1717216071
4,koungou,-12.7336,45.2042,26.84,78,20,7.72,YT,1717216071
5,georgetown,5.4112,100.3354,30.97,68,20,2.57,MY,1717216072
6,katsuren-haebaru,26.3369,127.8719,25.22,96,75,2.06,JP,1717216072
7,iskateley,67.6803,53.1512,-2.21,96,50,2.24,RU,1717216072
8,olonkinbyen,70.9221,-8.7187,0.75,86,6,7.12,SJ,1717216072
9,thompson,55.7435,-97.8558,10.09,71,75,5.66,CA,1717216072
10,swift current,50.2834,-107.8014,10.45,50,75,6.17,CA,1717216072
11,papatowai,-46.5619,169.4708,9.29,80,54,9.49,NZ,1717216073
12,grytviken,-54.2811,-36.5092,-6.31,81,37,4.59,GS,1717216073
13,sepuka,-4.75,34.5333,16.38,75,96,3.3,TZ,1717216073
14,ilulissat,69.2167,-51.1,-0.99,59,40,1.03,GL,1717216073
15,port lincoln,-34.7333,135.8667,14.39,53,0,3.75,AU,1717216073
16,trondheim,63.4305,10.3951,12.03,91,6,0.45,NO,1717216073
17,tralee,52.2704,-9.7026,6.55,90,36,1.3,IE,1717216074
18,edinburgh of the seven seas,-37.0676,-12.3116,15.26,92,100,17.52,SH,1717216074
19,albany,42.6001,-73.9662,15.23,67,20,0.45,US,1717216074
20,hermanus,-34.4187,19.2345,7.67,83,0,3.06,ZA,1717216074
21,mejit,10.2753,170.8646,27.56,80,100,4.56,MH,1717216074
22,bredasdorp,-34.5322,20.0403,9.26,88,4,0.19,ZA,1717216074
23,yellowknife,62.456,-114.3525,8.56,51,100,5.66,CA,1717215932
24,atafu village,-8.5421,-172.5159,29.34,73,82,4.68,TK,1717216075
25,avarua,-21.2078,-159.775,23.03,64,75,1.54,CK,1717216075
26,kodiak,57.79,-152.4072,7.73,87,100,3.6,US,1717216075
27,punta arenas,-53.15,-70.9167,1.06,93,100,3.09,CL,1717216068
28,waitangi,-43.9535,-176.5597,12.68,94,55,2.24,NZ,1717216075
29,utrik,11.2278,169.8474,28.41,76,81,5.31,MH,1717216076
30,cabo san lucas,22.8909,-109.9124,28.61,58,78,5.92,MX,1717215576
31,cabedelo,-6.9811,-34.8339,23.37,86,52,4.53,BR,1717216076
32,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,95,75,6.0,RU,1717215979
33,howard springs,-12.497,131.047,32.21,61,8,5.63,AU,1717216076
34,al kharijah,25.4514,30.5464,25.44,25,0,3.83,EG,1717216076
35,mount isa,-20.7333,139.5,16.87,67,96,5.14,AU,1717216076
36,fukuecho,32.6881,128.8419,24.2,69,75,2.06,JP,1717216077
37,brandys nad labem-stara boleslav,50.1871,14.6633,15.96,93,100,2.79,CZ,1717216077
38,priargunsk,50.3691,119.1012,27.23,20,9,4.15,RU,1717216077
39,hawaiian paradise park,19.5933,-154.9731,23.73,90,100,3.09,US,1717216077
40,enewetak,11.3474,162.3373,27.76,80,98,5.25,MH,1717216077
41,nadi,-17.8,177.4167,28.0,54,40,7.2,FJ,1717216077
42,san antonio de pale,-1.4014,5.6325,26.12,76,67,6.53,GQ,1717216078
43,tsiombe,-25.3,45.4833,16.59,60,0,1.57,MG,1717216078
44,puerto natales,-51.7236,-72.4875,0.92,95,100,1.23,CL,1717216078
45,suluova,40.8313,35.6479,14.92,82,0,0.0,TR,1717216078
46,whitehorse,60.7161,-135.0538,16.43,27,100,4.12,CA,1717215562
47,mili,6.0815,171.735,27.52,79,100,4.35,MH,1717216078
48,mount gambier,-37.8333,140.7667,14.24,56,42,2.71,AU,1717216079
